date,team,opponent,goals_for,goals_against,result,competition
2024-06-04,Australia,Switzerland,1,1,D,Continental Championship
2024-06-04,Spain,Germany,0,1,L,Continental Championship
2024-06-05,Egypt,Ghana,2,0,W,Continental Championship
2024-06-05,South Africa,Cape Verde,1,1,D,World Cup Qualifier
2024-06-05,Portugal,France,1,0,W,International Friendly
2024-06-06,Curaçao,Norway,1,1,D,World Cup Qualifier
2024-06-06,Ecuador,Canada,2,1,W,World Cup Qualifier
2024-06-06,Morocco,Iran,2,1,W,Continental Championship
2024-06-07,Belgium,Ecuador,0,3,L,World Cup Qualifier
2024-06-07,Saudi Arabia,Uruguay,1,1,W,International Friendly
2024-06-07,Qatar,United States,1,2,W,Continental Championship
2024-06-08,Iraq,Algeria,2,0,W,International Friendly
2024-06-08,Austria,Haiti,1,1,D,Continental Championship
2024-06-08,Saudi Arabia,Tunisia,2,2,D,International Friendly
2024-06-08,Algeria,Canada,3,0,W,Continental Championship
2024-06-09,Morocco,Uruguay,2,1,W,International Friendly
2024-06-09,Algeria,Türkiye,3,1,W,World Cup Qualifier
2024-06-10,Ivory Coast,Argentina,0,2,L,Continental Championship
2024-06-10,Australia,Belgium,1,1,D,Continental Championship
2024-06-11,Belgium,Argentina,2,3,L,Continental Championship
2024-06-11,Iraq,Colombia,0,3,L,World Cup Qualifier
2024-06-11,Türkiye,Norway,3,1,W,World Cup Qualifier
2024-06-12,Curaçao,South Africa,2,2,L,Continental Championship
2024-06-12,Algeria,England,0,3,L,International Friendly
2024-06-12,Tunisia,Croatia,0,2,L,World Cup Qualifier
2024-06-12,Tunisia,Brazil,1,1,L,World Cup Qualifier
2024-06-13,Croatia,Türkiye,0,0,D,Continental Championship
2024-06-13,Algeria,Iran,1,1,L,Continental Championship
2024-06-13,South Korea,Netherlands,0,1,L,World Cup Qualifier
2024-06-13,Algeria,Australia,2,3,L,World Cup Qualifier
2024-06-14,France,Japan,1,1,D,Continental Championship
2024-06-14,Qatar,Paraguay,2,0,W,Continental Championship
2024-06-14,Tunisia,Curaçao,3,3,D,World Cup Qualifier
2024-06-14,Iran,South Africa,1,1,D,International Friendly
2024-06-15,Sweden,Uruguay,1,3,L,Continental Championship
2024-06-17,Argentina,Bosnia and Herzegovina,1,2,W,International Friendly
2024-06-17,Australia,Portugal,0,2,L,Continental Championship
2024-06-17,Brazil,Argentina,4,1,W,World Cup Qualifier
2024-06-17,Canada,Australia,2,1,W,World Cup Qualifier
2024-06-18,England,Türkiye,1,1,W,Continental Championship
2024-06-19,Germany,England,3,1,W,Continental Championship
2024-06-20,Uruguay,Croatia,1,4,L,International Friendly
2024-06-20,South Africa,New Zealand,3,0,W,International Friendly
2024-06-21,Spain,DR Congo,1,0,W,International Friendly
2024-06-22,DR Congo,Cape Verde,2,0,W,World Cup Qualifier
2024-06-22,Ivory Coast,Czech Republic,1,1,D,International Friendly
2024-06-23,Morocco,England,1,1,W,World Cup Qualifier
2024-06-23,Jordan,Uruguay,1,1,D,Continental Championship
2024-06-23,Ghana,Jordan,1,1,W,World Cup Qualifier
2024-06-23,Ghana,Colombia,1,0,W,World Cup Qualifier
2024-06-23,Croatia,Curaçao,2,0,W,International Friendly
2024-06-23,Argentina,England,0,2,L,World Cup Qualifier
2024-06-23,Morocco,Ivory Coast,1,3,L,International Friendly
2024-06-24,Egypt,Ghana,2,1,W,World Cup Qualifier
2024-06-24,Iran,Türkiye,1,1,D,Continental Championship
2024-06-25,Australia,Norway,0,0,D,Continental Championship
2024-06-25,Iraq,Morocco,0,0,D,World Cup Qualifier
2024-06-25,Germany,Ghana,1,0,W,World Cup Qualifier
2024-06-26,Norway,Paraguay,1,1,D,World Cup Qualifier
2024-06-26,Portugal,Türkiye,0,1,L,World Cup Qualifier
2024-06-27,Spain,Algeria,2,0,W,World Cup Qualifier
2024-06-27,Panama,Cape Verde,2,2,L,International Friendly
2024-06-27,Switzerland,Uruguay,3,2,W,Continental Championship
2024-06-27,New Zealand,Ivory Coast,0,2,L,Continental Championship
2024-06-28,Egypt,South Korea,1,0,W,Continental Championship
2024-06-28,Ghana,Canada,1,0,W,Continental Championship
2024-06-28,Jordan,Ghana,2,1,W,International Friendly
2024-06-29,Australia,Austria,2,2,W,Continental Championship
2024-06-29,Ivory Coast,Spain,0,0,D,International Friendly
2024-06-30,France,United States,1,1,W,International Friendly
2024-07-01,Senegal,South Africa,2,2,L,Continental Championship
2024-07-01,South Africa,Uzbekistan,1,1,D,World Cup Qualifier
2024-07-02,Qatar,Spain,0,0,D,World Cup Qualifier
2024-07-02,Argentina,Uzbekistan,3,1,W,Continental Championship
2024-07-02,Croatia,Argentina,2,2,D,International Friendly
2024-07-03,Uruguay,Türkiye,1,0,W,Continental Championship
2024-07-03,Sweden,Colombia,1,1,D,International Friendly
2024-07-03,Norway,Panama,1,0,W,World Cup Qualifier
2024-07-04,Uruguay,Japan,1,0,W,Continental Championship
2024-07-04,England,Japan,2,0,W,Continental Championship
