team,code,total_matches,wins,draws,losses,goals_for,goals_against,goal_difference
Netherlands,NLD,49,31,13,5,73,37,36
Brazil,BRA,48,30,11,7,77,41,36
Germany,GER,48,28,12,8,69,46,23
Spain,ESP,48,28,12,8,60,35,25
South Africa,RSA,50,27,17,6,83,35,48
Austria,AUT,49,27,15,7,68,55,13
Argentina,ARG,41,26,13,2,60,35,25
Mexico,MEX,47,26,15,6,67,36,31
Norway,NOR,45,26,15,4,67,35,32
Portugal,POR,49,26,10,13,68,46,22
England,ENG,50,25,17,8,69,52,17
Switzerland,CHE,43,25,7,11,78,46,32
France,FRA,43,25,13,5,61,45,16
Croatia,HRV,49,23,14,12,66,57,9
Sweden,SWE,42,23,10,9,57,47,10
Algeria,ALG,49,23,12,14,69,54,15
Ivory Coast,CIV,50,22,13,15,79,57,22
Egypt,EGY,49,22,17,10,70,49,21
Paraguay,PAR,50,22,12,16,64,60,4
Uruguay,URY,40,21,9,10,48,39,9
DR Congo,COD,49,21,10,18,63,57,6
Senegal,SEN,46,21,8,17,58,49,9
Uzbekistan,UZB,49,20,12,17,57,52,5
Ghana,GHA,48,19,21,8,56,49,7
Canada,CAN,48,19,16,13,57,58,-1
Cape Verde,CPV,49,19,17,13,65,53,12
Czech Republic,CZE,50,19,16,15,65,68,-3
Colombia,COL,44,19,14,11,43,50,-7
Haiti,HTI,44,19,8,17,49,52,-3
United States,USA,42,19,10,13,64,46,18
Belgium,BEL,43,18,11,14,60,51,9
Türkiye,TUR,40,18,10,12,48,42,6
Iraq,IRQ,45,18,12,15,54,52,2
Australia,AUS,45,17,15,13,50,49,1
South Korea,KOR,47,17,14,16,53,49,4
Panama,PAN,48,16,14,18,46,65,-19
Japan,JPN,43,16,13,14,61,52,9
Saudi Arabia,SAU,41,16,16,9,43,38,5
Morocco,MAR,46,15,13,18,55,68,-13
Scotland,SCO,43,15,13,15,60,51,9
New Zealand,NZL,45,15,14,16,50,57,-7
Jordan,JOR,48,15,18,15,52,50,2
Ecuador,ECU,43,14,11,18,49,60,-11
Iran,IRN,48,14,15,19,51,53,-2
Qatar,QAT,45,14,12,19,44,58,-14
Curaçao,CUW,43,13,15,15,49,54,-5
Bosnia and Herzegovina,BIH,41,13,11,17,43,47,-4
Tunisia,TUN,48,13,16,19,48,63,-15
